end_time, 2019/09/04 09:15:26.3282, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1776176269, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/04 09:29:18.5959, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1724488658, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.9375, running_ave_reward, 0, 
end_time, 2019/09/04 09:39:21.2520, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1895990133, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/04 10:10:10.3060, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 191681706, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.9375, running_ave_reward, 0, 
end_time, 2019/09/04 10:43:04.9180, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 584919389, load_brain, False, num_hidden_units, 40, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/04 11:28:58.7273, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 671873348, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
end_time, 2019/09/04 11:42:04.6673, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 898689964, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.91797, running_ave_reward, 0, 
end_time, 2019/09/04 12:09:48.1435, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1065096798, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.91797, running_ave_reward, 0, 
end_time, 2019/09/04 12:44:24.3389, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1034338816, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/04 13:29:31.6718, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1176967904, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.89844, running_ave_reward, 0, 
end_time, 2019/09/04 13:42:29.9594, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.05, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1644767569, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.95703, running_ave_reward, 0, 
end_time, 2019/09/04 14:10:18.3062, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 2075173917, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.9375, running_ave_reward, 0, 
end_time, 2019/09/04 14:26:55.5268, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 486505200, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1197, runtime, 99.9375, running_ave_reward, 0.01570594, 
end_time, 2019/09/04 15:11:11.4419, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.01, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1874970135, load_brain, False, num_hidden_units, 80, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 1225, runtime, 99.95703, running_ave_reward, 0.01306123, 
end_time, 2019/09/04 16:27:35.6751, runtime, 48100, discount_factor, 0.95, type_hidden_units, tanh, test_duration, 100, learning_rate, 0.09, reward_timeout, 20, mobility_model, NoGradePenalty, seed, 1621021690, load_brain, False, num_hidden_units, 120, train_duration, 48000, respawnWidth, 15, loss_factor, 0.2, ranged_state, True, n_updates, 2000, runtime, 99.98047, running_ave_reward, 0, 
